app,keyCount,mouseCount,freq,year,month,day,hour
StartMenuExperienceHost,0,1,0.2,2024,09,30,23
StartMenuExperienceHost,0,3,0.5333333333333333,2024,10,01,22
ShellExperienceHost,11,6,0.8333333333333333,2024,10,01,20
explorer,0,1,0.2,2024,09,30,23
explorer,0,3,0.7833333333333333,2024,10,01,20
explorer,0,3,0.5,2024,10,01,21
explorer,0,2,1.6666666666666663,2024,10,01,23
cloudmusic,0,1,0.2,2024,10,01,20
cloudmusic,0,2,0.5833333333333333,2024,10,01,23
MuMuPlayer,0,217,4.083333333333334,2024,10,01,23
PgyVisitorEnt,0,1,0.2,2024,10,01,20
PgyVisitorEnt,0,1,0.2,2024,10,01,22
PgyVisitorEnt,0,1,0.5,2024,10,01,23
QQ,64,88,1.6166666666666665,2024,10,01,20
QQ,97,167,2.5,2024,10,01,21
QQ,107,46,2.3666666666666667,2024,10,01,22
WeChat,0,23,0.7,2024,09,30,23
wps,3,85,1.8333333333333333,2024,10,01,21
wps,0,28,0.3333333333333333,2024,10,01,22
SysDefault,0,3,0.2,2024,09,30,23
SysDefault,0,2,0.5833333333333333,2024,10,01,20
SysDefault,0,8,1.6666666666666663,2024,10,01,21
SysDefault,0,5,0.8666666666666667,2024,10,01,22
SysDefault,0,10,1.4166666666666663,2024,10,01,23
msedge,1481,1919,33.83333333333333,2024,10,02,10
msedge,1279,1271,20.51666666666666,2024,10,02,11
msedge,212,1339,12.108333333333334,2024,10,02,12
msedge,132,840,6.035714285714287,2024,10,02,13
msedge,0,1,0.2,2024,10,02,14
msedge,32,416,4.442857142857144,2024,10,02,15
msedge,1109,1068,18.54285714285714,2024,10,02,16
msedge,653,316,9.342857142857143,2024,10,02,17
msedge,2381,1026,26.95,2024,10,02,18
msedge,164,1341,18.7,2024,10,02,19
msedge,469,46,6.0,2024,10,02,20
msedge,1341,359,16.483333333333334,2024,10,02,21
msedge,242,918,12.716666666666669,2024,10,02,22
msedge,44,1033,16.8,2024,10,02,23
HipsTray,0,3,0.45,2024,10,02,21
HipsTray,0,1,0.2,2024,10,02,23
Notepad,0,1,0.2,2024,10,02,10
WindowsTerminal,129,46,1.4,2024,10,02,12
WindowsTerminal,88,12,1.1928571428571428,2024,10,02,13
WeChatAppEx,1,6,0.3095238095238095,2024,10,02,13
WeChatUpdate,0,1,0.1666666666666666,2024,10,02,10
Clash for Windows,0,7,1.0416666666666663,2024,10,02,12
Clash for Windows,0,7,1.3428571428571427,2024,10,02,15
Clash for Windows,0,2,0.3095238095238095,2024,10,02,16
Clash for Windows,0,10,1.3761904761904762,2024,10,02,17
Clash for Windows,0,1,0.1666666666666666,2024,10,02,18
Clash for Windows,0,3,0.5833333333333333,2024,10,02,19
Clash for Windows,0,1,0.3333333333333333,2024,10,02,21
Clash for Windows,0,1,0.1666666666666666,2024,10,02,22
Clash for Windows,0,6,1.65,2024,10,02,23
Anaconda3-2024,0,5,0.5833333333333333,2024,10,02,12
ApplicationFrameHost,0,12,0.3333333333333333,2024,10,02,21
SystemPropertiesComputerName,0,0,1.3666666666666665,2024,10,02,12
Taskmgr,0,1,0.1666666666666666,2024,10,02,13
Taskmgr,0,0,0.5833333333333333,2024,10,02,14
Taskmgr,0,1,1.4761904761904765,2024,10,02,15
Taskmgr,0,0,1.476190476190476,2024,10,02,16
Taskmgr,0,6,4.092857142857143,2024,10,02,17
Taskmgr,0,2,1.6666666666666667,2024,10,02,18
Taskmgr,0,1,0.1666666666666666,2024,10,02,19
Taskmgr,0,5,0.95,2024,10,02,21
Taskmgr,0,1,0.2,2024,10,02,22
powershell,0,0,0.2,2024,10,02,13
cmd,0,0,0.2,2024,10,02,13
LockApp,0,3,1.125,2024,10,02,09
StartMenuExperienceHost,0,1,0.5,2024,10,02,00
StartMenuExperienceHost,0,1,0.2,2024,10,02,13
SearchHost,14,6,1.5,2024,10,02,12
SearchHost,25,7,0.8428571428571427,2024,10,02,13
SearchHost,0,1,0.25,2024,10,02,16
ShellExperienceHost,0,1,0.1666666666666666,2024,10,02,12
ShellExperienceHost,0,2,0.3333333333333333,2024,10,02,19
ShellExperienceHost,0,1,0.25,2024,10,02,22
ShellExperienceHost,0,7,1.5166666666666666,2024,10,02,23
explorer,4,22,0.625,2024,10,02,09
explorer,30,101,3.4166666666666665,2024,10,02,10
explorer,0,18,1.5166666666666666,2024,10,02,11
explorer,68,683,8.108333333333333,2024,10,02,12
explorer,0,36,5.235714285714287,2024,10,02,13
explorer,0,1,0.2,2024,10,02,14
explorer,0,13,1.6928571428571428,2024,10,02,15
explorer,0,18,2.2095238095238097,2024,10,02,16
explorer,0,43,3.826190476190477,2024,10,02,17
explorer,0,15,1.95,2024,10,02,18
explorer,0,15,2.033333333333333,2024,10,02,19
explorer,0,3,0.75,2024,10,02,20
explorer,0,19,3.2333333333333334,2024,10,02,21
explorer,0,27,3.6666666666666665,2024,10,02,22
explorer,0,11,1.1,2024,10,02,23
cloudmusic,0,1,0.125,2024,10,02,09
cloudmusic,0,1,0.5,2024,10,02,13
cloudmusic,0,1,0.1428571428571428,2024,10,02,16
cloudmusic,0,1,0.2,2024,10,02,17
MuMuPlayer,0,289,5.166666666666666,2024,10,02,10
MuMuPlayer,5,243,2.333333333333333,2024,10,02,11
MuMuPlayer,0,21,0.4166666666666666,2024,10,02,12
MuMuPlayer,0,874,21.58333333333333,2024,10,02,13
MuMuPlayer,0,115,1.8666666666666667,2024,10,02,22
MuMuPlayer,0,819,20.433333333333326,2024,10,02,23
steamwebhelper,0,1,0.125,2024,10,02,09
steamwebhelper,0,1,0.1428571428571428,2024,10,02,16
steamwebhelper,0,1,0.2,2024,10,02,17
PgyVisitorEnt,0,1,0.125,2024,10,02,09
PgyVisitorEnt,0,3,0.1666666666666666,2024,10,02,13
PgyVisitorEnt,0,1,0.2,2024,10,02,17
Code,0,25,0.625,2024,10,02,09
Code,0,118,1.6333333333333333,2024,10,02,10
Code,0,52,0.4166666666666666,2024,10,02,11
Code,524,398,8.491666666666667,2024,10,02,12
Code,1004,527,9.202380952380953,2024,10,02,13
Code,14,51,1.7833333333333332,2024,10,02,14
Code,14,575,6.526190476190477,2024,10,02,15
Code,24,446,6.4,2024,10,02,16
Code,390,1425,15.20952380952381,2024,10,02,17
Code,1,100,5.449999999999999,2024,10,02,18
Code,3,220,5.45,2024,10,02,19
Code,0,2,0.5,2024,10,02,20
Code,1,28,3.483333333333334,2024,10,02,21
Code,10,29,3.2166666666666663,2024,10,02,22
Feishu,5,28,1.65,2024,10,02,10
QQ,0,3,0.125,2024,10,02,09
QQ,1197,201,8.983333333333334,2024,10,02,11
QQ,129,59,2.083333333333333,2024,10,02,12
QQ,0,1,0.1666666666666666,2024,10,02,13
QQ,0,1,0.25,2024,10,02,17
WeChat,1,55,0.1666666666666666,2024,10,02,10
WeChat,0,24,0.1666666666666666,2024,10,02,11
WeChat,0,2,0.2916666666666666,2024,10,02,12
WeChat,0,15,0.3095238095238095,2024,10,02,13
copytranslator,4,13,1.0333333333333332,2024,10,02,10
copytranslator,20,42,4.033333333333333,2024,10,02,11
copytranslator,6,4,0.9583333333333331,2024,10,02,12
Typora,0,13,0.3333333333333333,2024,10,02,10
Typora,4,9,0.8666666666666667,2024,10,02,11
Typora,28,26,0.9583333333333331,2024,10,02,12
Typora,10,20,1.2857142857142856,2024,10,02,13
Typora,100,38,0.95,2024,10,02,14
Typora,312,154,3.7428571428571424,2024,10,02,15
Typora,21,14,1.7333333333333332,2024,10,02,16
Typora,56,51,2.8095238095238093,2024,10,02,17
Typora,79,31,1.95,2024,10,02,18
Typora,212,64,3.533333333333333,2024,10,02,19
Typora,0,1,0.25,2024,10,02,20
Typora,58,59,1.9166666666666663,2024,10,02,21
Typora,268,189,3.583333333333333,2024,10,02,22
Typora,0,1,0.25,2024,10,02,23
photolaunch,0,1,0.25,2024,10,02,12
wps,19,47,2.816666666666667,2024,10,02,10
wps,53,440,6.4833333333333325,2024,10,02,11
SysDefault,0,2,0.5,2024,10,02,00
SysDefault,0,3,0.125,2024,10,02,09
SysDefault,0,54,5.583333333333334,2024,10,02,10
SysDefault,3,160,10.683333333333335,2024,10,02,11
SysDefault,3,77,8.275,2024,10,02,12
SysDefault,0,77,8.402380952380954,2024,10,02,13
